label,sublabel,description,styles,bgcolor
燃やすごみ（ステーション回収）,,,,#ff0000
燃やさないごみ（ステーション回収）,,,,#0000ff
プラマーク製品（ステーション回収）,,,,#000000
ペットボトル（ステーション回収）,,,,#87cefa
紙パック（ステーション回収）,,,,#ff4500
缶類（ステーション回収）,,,,#ffc0cb
びん（ステーション回収）,,,,#008000
大型有料ごみ（戸別回収）,,,,#800080
乾電池（ステーション回収）,,,,#808080
スプレー缶（ステーション回収）,,,,#808080
ライター（ステーション回収）,,,,#808080
廃蛍光管（ステーション回収）,,,,#808080
小型充電式電池（拠点回収）,,,,#ffff00
廃食用油（拠点回収）,,,,#f5f5dc
家電リサイクル（自己搬入・業者回収・戸別回収）,,,,#ffd700
使用済小型家電（拠点回収・ステーション回収）,,,,#000080
使用済小型家電（拠点回収・業者回収）,,,,#4169e1
収集できないもの・収集しないもの,,,,#00ff00
